Region,Depth,Oil_Production_Rate,Extraction_Method,Water_Cut,Flaring_Emissions_MtCO2,Venting_Emissions_MtCO2,Methane_Emissions_MtCO2e
north america,3978.29,2521058.12,natural lift,68.06,0.08,1.16,1.4
south america,1267.81,449.58,fracking,80.81,7.65,3.09,4.43
north america,1339.58,2029972.87,steam injection,73.43,4.21,3.38,8.33
middle east,4047.04,924047.72,water flooding,62.1,8.58,3.67,5.54
asia,3085.37,2292.45,fracking,59.66,7.52,3.48,6.41
middle east,1942.99,1144017.35,water flooding,69.5,3.95,3.92,8.95
south america,3072.27,1851.46,water flooding,96.08,2.94,1.33,6.78
north america,1359.31,2976573.19,water flooding,77.37,5.64,3.49,8.96
middle east,1025.51,956063.94,natural lift,16.75,3.55,2.16,7.61
north america,2447.11,724958.32,steam injection,58.13,9.09,3.26,6.14
south america,3778.88,4156.84,water flooding,57.58,7.58,0.84,5.95
middle east,3921.99,1333520.04,steam injection,9.97,6.28,4.23,9.52
africa,1255.94,4140.42,steam injection,91.82,5.57,1.66,4.29
europe,3561.22,2647671.5,fracking,7.9,4.76,0.23,3.78
north america,1547.18,2523416.07,natural lift,63.81,8.73,0.29,10.0
south america,2349.4,2248.7,water flooding,85.77,7.56,0.98,1.72
africa,958.72,2330893.82,steam injection,8.2,4.79,0.46,2.48
asia,1313.21,1040.22,steam injection,48.18,3.9,2.23,0.64
asia,1121.42,3848990.77,steam injection,89.57,9.57,2.92,9.47
africa,3099.09,960793.14,fracking,50.23,0.39,2.52,1.31
asia,2738.82,1414324.12,water flooding,5.29,8.72,3.15,1.0
north america,1557.78,1380.61,fracking,48.2,0.86,3.33,7.28
middle east,3179.23,1749094.88,natural lift,69.26,5.9,0.1,2.81
asia,590.99,1732.12,water flooding,25.26,9.31,3.02,4.1
africa,1775.88,1488476.48,steam injection,87.43,9.61,2.42,1.05
south america,1032.09,2051.16,water flooding,58.67,6.93,0.72,2.38
south america,2732.4,4830.38,water flooding,91.92,2.4,4.8,0.64
asia,4772.26,1445.67,water flooding,71.68,3.42,1.38,2.88
south america,3390.3,569.49,steam injection,49.17,9.09,2.51,6.33
asia,2763.07,1507035.93,steam injection,65.74,0.65,4.76,7.46
europe,3520.77,1039930.93,natural lift,83.55,9.53,1.95,1.05
asia,3969.67,3602148.07,fracking,58.0,4.45,1.28,7.47
europe,1789.35,3052.98,natural lift,77.53,8.06,1.73,9.65
middle east,1343.38,707740.59,steam injection,43.28,3.26,2.23,9.11
north america,4749.78,4520804.58,natural lift,52.82,8.83,2.08,0.42
north america,1121.7,2949225.71,steam injection,86.57,9.49,0.39,1.8
south america,3781.23,2283.22,steam injection,44.05,8.87,0.15,2.64
africa,2110.54,921.47,water flooding,62.25,7.11,0.58,3.45
middle east,1666.9,4042019.29,steam injection,17.19,5.4,3.59,4.79
north america,1218.26,4002673.78,water flooding,28.67,1.74,0.61,9.93
europe,526.8,3512.11,steam injection,74.91,2.44,1.01,8.8
middle east,4356.68,3481029.0,fracking,48.13,2.72,4.07,0.3
europe,745.34,471666.38,fracking,25.85,6.45,3.4,4.29
north america,3260.53,3774157.51,natural lift,39.66,4.27,3.32,5.1
asia,4795.93,325115.96,water flooding,66.34,6.08,2.38,2.17
north america,2899.86,3757211.63,fracking,21.82,2.45,0.44,5.96
asia,4413.55,1217627.34,steam injection,75.49,7.3,3.86,1.38
asia,2567.34,3234005.96,water flooding,37.39,9.34,4.79,3.78
africa,1325.97,996.29,natural lift,34.76,9.36,3.03,2.14
south america,4638.29,829.01,natural lift,81.7,0.89,0.41,8.38
middle east,1305.22,862253.71,fracking,52.06,8.26,2.21,1.0
north america,2132.86,3276914.46,fracking,5.39,5.4,1.69,5.15
north america,1928.42,3460.47,steam injection,69.41,2.89,0.24,4.06
asia,3063.57,307759.61,water flooding,56.9,4.99,4.69,0.39
north america,500.61,3532780.51,water flooding,14.1,3.43,0.58,3.43
north america,1142.61,2599.93,fracking,56.34,0.09,2.64,1.86
south america,525.65,2445426.96,fracking,34.22,9.26,4.72,7.51
africa,4553.1,2263.73,fracking,25.26,8.79,3.14,2.39
asia,3071.21,584860.06,steam injection,34.8,7.09,2.41,5.9
africa,3984.85,2616.77,fracking,33.76,7.8,2.52,2.79
middle east,1338.52,3618349.37,steam injection,56.08,2.19,1.64,8.55
africa,1871.76,4640910.51,natural lift,48.3,8.42,1.18,1.8
europe,2692.05,277.8,fracking,77.68,3.17,3.24,3.06
south america,4527.08,153.85,fracking,26.84,8.67,1.4,6.07
europe,4849.36,3940.31,natural lift,59.83,3.21,1.04,5.51
asia,3322.45,4804346.38,steam injection,54.38,8.12,2.1,0.55
africa,2931.36,966789.37,fracking,17.66,0.94,2.23,0.17
europe,1476.96,3371781.14,fracking,47.08,1.76,0.05,7.38
africa,3136.94,2779256.23,water flooding,82.79,5.56,2.72,8.8
europe,772.6,1079.83,fracking,20.0,5.52,1.24,6.98
south america,1077.06,4273903.87,steam injection,60.79,5.06,2.18,0.73
europe,2796.48,2625946.16,natural lift,61.76,6.12,4.76,9.35
north america,1431.02,792.86,water flooding,43.67,0.11,0.5,6.66
europe,2962.37,4515.18,fracking,62.69,7.58,2.82,5.52
europe,1700.55,3420.12,water flooding,91.18,2.03,0.46,0.37
north america,4939.51,2662806.81,natural lift,98.78,8.76,0.48,4.38
south america,876.09,3684.92,steam injection,20.25,5.33,1.29,4.85
africa,2782.56,3572.97,natural lift,39.44,9.67,2.16,3.99
asia,3769.1,2473476.75,fracking,56.1,7.18,4.74,0.72
europe,1332.66,3189544.23,water flooding,39.57,5.21,4.0,5.55
north america,3862.0,1610934.43,water flooding,32.04,5.91,0.19,9.09
south america,1167.95,2185263.56,steam injection,15.94,3.1,0.35,7.08
africa,4674.64,1459.6,fracking,73.95,8.24,1.83,3.57
europe,1521.57,2850.38,water flooding,20.98,4.07,4.03,2.42
north america,4437.21,3457.36,fracking,66.57,1.81,4.06,9.08
middle east,1764.18,1292.63,water flooding,20.51,3.04,4.1,9.92
south america,594.01,4611.91,fracking,5.72,9.85,1.55,1.21
africa,1711.85,3400.05,natural lift,73.26,9.1,3.6,8.88
africa,3279.15,2974821.62,fracking,86.66,3.57,4.28,4.47
europe,3509.32,4373120.19,natural lift,82.53,2.09,2.97,1.55
europe,2395.65,4894.07,steam injection,56.06,3.48,3.13,1.25
africa,4023.83,67871.98,water flooding,39.59,8.51,4.68,6.84
asia,4791.08,1937206.67,natural lift,70.71,3.02,1.5,0.83
europe,2331.95,4997.98,water flooding,18.05,3.81,3.43,6.16
asia,4543.46,391097.63,steam injection,8.94,2.6,3.64,9.5
africa,2639.67,4163.74,steam injection,17.55,4.82,0.82,5.4
asia,607.67,1328803.17,water flooding,43.92,4.75,4.08,8.89
north america,4068.36,806.92,fracking,84.94,9.3,3.12,7.61
asia,4368.63,1205590.07,steam injection,75.36,3.56,4.71,4.1
south america,2467.49,980462.92,fracking,75.23,1.64,4.56,6.92
north america,1630.99,3458597.12,steam injection,34.51,3.87,0.36,8.24
south america,2933.89,4922.3,steam injection,28.54,9.23,3.23,3.82
middle east,4003.49,4781.34,water flooding,45.9,6.39,4.22,7.14
asia,4227.53,2691.26,natural lift,33.87,2.02,1.81,5.15
south america,3760.06,1410.67,steam injection,75.6,8.91,0.71,8.43
middle east,4837.91,1298.02,natural lift,69.63,9.36,2.61,0.84
asia,1022.68,4654.73,natural lift,41.98,0.16,4.53,0.94
south america,1843.54,4850258.14,natural lift,12.27,6.82,0.66,7.42
middle east,915.52,2268262.02,steam injection,82.01,6.92,1.73,9.65
north america,3660.36,1907136.8,natural lift,13.87,5.1,4.42,3.17
europe,2955.06,2582074.75,fracking,93.01,7.99,4.93,4.01
africa,3357.73,56.0,steam injection,80.44,4.97,2.4,2.98
south america,2888.24,2617.41,water flooding,78.86,8.23,1.67,3.21
middle east,1671.18,4787.61,steam injection,11.64,2.04,0.15,2.87
north america,2001.13,4914246.21,fracking,72.08,8.96,4.13,6.56
north america,703.06,295.84,fracking,6.64,8.06,0.64,0.53
south america,1403.95,2360.84,natural lift,38.88,6.44,0.89,6.48
asia,4146.32,2879563.35,water flooding,8.2,2.12,0.16,6.25
africa,2729.46,3892.98,fracking,60.34,9.62,2.27,7.56
africa,1814.84,449.96,water flooding,55.92,1.95,3.85,4.83
africa,1331.6,3415240.38,natural lift,34.81,5.1,1.69,1.02
middle east,2233.83,4730660.33,fracking,65.86,6.12,3.03,3.01
north america,1666.3,2846257.46,water flooding,60.09,2.4,3.94,9.17
asia,3807.52,1300778.66,steam injection,38.34,8.28,0.38,8.78
south america,1462.23,4424.05,natural lift,80.46,1.36,0.86,8.03
north america,4931.43,4674.55,water flooding,98.23,5.11,3.69,6.49
europe,3813.85,1760.03,natural lift,50.58,3.83,2.43,1.8
africa,4940.27,4533.45,natural lift,23.91,4.53,0.22,3.15
europe,3076.82,4723991.63,water flooding,14.34,1.06,0.8,4.39
europe,4525.34,1787147.09,steam injection,99.45,3.89,2.06,0.5
south america,820.69,1687.22,natural lift,61.71,5.82,2.87,0.53
asia,3196.01,750690.07,natural lift,32.76,4.76,1.5,7.79
north america,4740.06,1026.32,steam injection,83.05,0.4,1.07,1.12
africa,3371.29,4134.58,steam injection,60.17,3.42,2.79,6.38
north america,3966.05,887669.86,steam injection,80.64,4.87,0.27,4.05
middle east,3429.56,4299.63,steam injection,87.5,0.94,0.57,8.72
africa,2360.77,1983.06,water flooding,23.02,5.28,3.56,4.57
south america,3733.44,2410.65,water flooding,46.49,8.16,3.71,2.73
middle east,3948.6,959.05,fracking,16.87,5.18,0.04,9.24
middle east,4304.99,1937.64,natural lift,38.62,7.23,3.51,9.16
europe,4948.62,755586.71,water flooding,56.47,1.24,1.71,8.04
middle east,3350.88,207.03,water flooding,32.04,0.55,1.39,0.62
asia,1711.41,2269896.99,natural lift,71.49,4.42,2.71,4.89
middle east,2561.3,4573620.27,fracking,20.09,5.1,2.77,5.06
middle east,1323.47,1744108.83,natural lift,78.02,8.91,3.79,9.95
middle east,4783.74,2787.63,fracking,55.67,3.85,4.28,4.05
africa,1097.99,2221.03,fracking,9.66,9.52,0.84,5.1
north america,3907.38,1891.33,natural lift,21.49,1.74,3.33,0.28
south america,3280.27,440.76,natural lift,21.61,6.79,4.26,6.74
africa,2594.09,2827.63,natural lift,42.73,5.48,2.25,6.38
europe,3333.18,1397152.65,fracking,35.75,9.57,3.56,6.02
south america,4267.9,1219.66,natural lift,24.53,3.85,1.21,2.9
south america,2143.23,4701332.76,steam injection,23.41,7.89,3.74,7.66
north america,1355.82,4047615.79,steam injection,48.1,1.55,2.04,0.4
europe,2413.02,4614255.93,water flooding,91.93,9.3,1.25,7.2
north america,1704.77,1497195.74,steam injection,19.7,3.43,2.31,4.24
europe,1787.37,57479.34,steam injection,36.17,4.22,0.96,7.66
asia,1524.9,3442058.23,steam injection,56.4,6.19,1.47,5.84
asia,4901.01,125.62,steam injection,62.48,6.09,1.12,9.03
south america,992.04,4297.02,water flooding,50.86,6.18,3.08,7.85
asia,2931.36,3934.55,natural lift,17.77,3.31,3.86,9.91
asia,3770.54,2263.84,fracking,93.57,8.73,0.5,0.93
asia,3831.12,4692.73,fracking,11.61,7.16,4.18,4.88
north america,4363.27,2550930.67,steam injection,29.32,6.75,0.98,3.33
europe,2651.93,4982133.13,fracking,25.43,6.83,2.77,3.91
north america,4176.46,3488931.82,water flooding,85.47,2.38,1.11,7.58
middle east,914.85,3985176.3,natural lift,99.06,9.0,2.94,3.79
north america,3882.16,2065.16,water flooding,48.71,8.31,4.01,8.72
asia,1994.3,786.87,steam injection,26.4,9.68,1.06,1.82
europe,811.0,4701836.09,natural lift,19.69,7.47,4.83,9.07
europe,4342.7,2777116.93,natural lift,61.06,7.36,3.59,4.25
europe,4454.25,2886.23,steam injection,77.36,6.12,4.8,2.53
north america,2932.67,3521037.72,water flooding,22.26,7.02,3.61,5.09
europe,2772.91,2290.84,water flooding,24.25,4.03,0.19,4.14
south america,3200.38,4578.31,natural lift,16.81,1.68,3.64,4.05
europe,2955.83,753.89,steam injection,60.74,8.57,4.77,3.05
north america,4122.53,1767.29,steam injection,67.43,3.94,1.24,0.33
north america,761.1,1808.64,water flooding,88.19,9.53,2.48,5.29
africa,3578.82,2342131.57,water flooding,13.55,6.28,1.08,3.9
south america,525.15,3410.39,water flooding,9.37,3.76,0.81,1.09
north america,4475.67,3540.07,fracking,71.65,4.9,2.65,3.29
africa,1047.66,971281.6,fracking,64.65,9.98,3.31,2.19
north america,1574.49,2484432.15,fracking,46.27,5.18,0.76,9.44
north america,4145.32,4613.75,fracking,14.47,7.45,1.41,0.81
africa,1442.6,2029.71,water flooding,5.66,0.33,1.32,6.74
asia,3385.67,2231641.56,fracking,36.6,4.52,1.33,4.62
north america,2432.02,337982.24,steam injection,20.9,4.36,3.83,3.07
north america,1692.42,4283.85,steam injection,50.41,8.16,3.78,4.41
asia,2612.84,1336.8,water flooding,94.43,6.8,4.75,2.39
north america,2863.45,457351.58,fracking,30.14,6.81,2.68,8.06
europe,4723.95,4956109.26,natural lift,18.11,6.12,3.6,7.94
north america,1774.94,4911.66,water flooding,69.97,1.29,0.97,2.05
europe,3972.66,2351824.11,natural lift,29.66,3.08,0.3,5.74
europe,3736.09,1128.38,fracking,68.34,6.33,3.82,6.7
europe,3402.32,504555.66,fracking,75.05,3.96,4.23,3.41
asia,3911.14,1240802.58,natural lift,12.93,7.15,2.98,2.55
europe,4713.9,1049.34,water flooding,18.46,0.73,2.06,8.57
north america,883.38,3140827.97,fracking,15.65,7.11,2.18,5.59
africa,4754.46,1560.86,natural lift,36.37,3.11,3.48,0.37
europe,4536.25,3215830.69,water flooding,22.71,1.29,1.18,0.75
north america,3335.44,704813.1,natural lift,17.22,8.62,3.54,8.08
middle east,4500.49,1693765.38,fracking,16.6,5.1,1.64,5.62
africa,1865.93,3237.05,steam injection,27.29,0.74,0.73,9.63
africa,4819.27,716962.37,steam injection,65.31,9.79,2.02,9.1
europe,2570.75,4783338.9,fracking,26.57,9.99,0.85,7.19
north america,4243.94,1248183.3,fracking,78.74,5.58,2.1,9.27
africa,4162.89,2163083.08,water flooding,87.45,5.18,4.39,7.36
asia,1047.05,1635.88,natural lift,89.07,8.01,4.43,2.87
north america,625.74,3407.54,water flooding,97.41,0.42,1.33,1.63
africa,4169.63,3874725.62,steam injection,59.7,5.55,2.5,6.31
north america,4109.8,3781136.96,fracking,97.81,7.77,3.96,8.55
middle east,2002.6,169178.16,water flooding,58.16,0.86,4.23,2.05
africa,560.74,548.42,steam injection,25.46,1.98,4.55,3.34
africa,4407.81,2478.86,natural lift,34.11,9.89,2.92,6.08
middle east,4674.59,398.33,water flooding,79.02,5.16,1.47,5.56
south america,1300.09,166160.83,water flooding,76.78,6.28,4.9,4.75
middle east,1294.59,4632724.87,fracking,81.14,3.06,4.16,6.96
north america,2349.46,1216.49,fracking,55.36,3.56,0.68,2.74
south america,2453.5,1333.76,fracking,34.6,9.56,4.99,9.41
asia,3053.92,4142052.19,fracking,2.36,4.6,2.9,2.16
middle east,4375.3,3821.57,water flooding,7.93,5.94,2.46,5.54
asia,4910.95,1495.12,water flooding,32.25,3.51,4.0,1.85
south america,1342.38,3589848.44,fracking,61.86,8.92,3.95,8.96
europe,3928.81,985.9,water flooding,79.79,4.63,2.11,2.38
africa,3235.84,3351.87,natural lift,32.36,5.08,4.32,9.22
south america,930.34,1016596.92,water flooding,44.17,0.17,1.86,5.68
europe,4660.56,4820288.85,water flooding,35.53,8.38,2.0,2.69
africa,2960.46,898.01,fracking,64.93,8.29,2.35,0.36
north america,1054.28,1665795.36,natural lift,86.28,9.79,0.78,6.52
europe,3667.35,3089219.15,natural lift,8.16,8.48,0.35,5.22
north america,3512.03,4931.08,water flooding,46.94,2.99,4.47,0.92
north america,1711.89,2793674.36,fracking,69.49,5.57,2.11,1.25
asia,4231.82,3825263.17,fracking,56.33,0.45,3.24,7.72
africa,2762.8,1403.62,natural lift,3.8,1.51,1.08,9.8
south america,1308.09,4744.39,fracking,15.89,0.4,2.26,8.89
north america,1045.54,923961.96,fracking,78.47,2.38,4.09,4.82
south america,902.9,4241544.25,steam injection,6.03,9.77,3.67,2.48
africa,1319.64,2454700.96,water flooding,84.48,5.05,1.99,5.58
asia,4008.52,3925.78,natural lift,49.05,8.02,4.74,4.13
north america,2652.95,2341.66,fracking,43.14,7.81,3.83,6.18
asia,3286.26,4538186.48,fracking,0.88,2.36,0.97,9.11
africa,2162.82,2724217.57,water flooding,18.89,9.43,0.76,3.53
middle east,524.92,3909744.77,water flooding,37.6,8.77,3.61,6.46
middle east,3101.82,2048.87,fracking,71.64,4.43,1.13,5.42
africa,3600.51,3422.94,steam injection,17.56,4.37,2.94,0.06
asia,3342.67,4277475.29,water flooding,32.86,9.29,2.81,4.99
south america,679.46,3095.19,fracking,18.92,6.09,3.88,0.46
asia,691.14,3870.49,fracking,22.67,6.92,3.26,6.99
middle east,3009.93,4075.21,fracking,2.14,8.42,4.8,7.76
south america,1138.19,193.37,steam injection,76.78,9.62,0.92,7.63
north america,1271.53,637216.15,fracking,18.01,5.88,0.77,2.29
africa,4221.59,3468.21,water flooding,93.01,9.6,0.04,5.8
africa,1089.16,3719291.25,steam injection,30.06,1.79,4.51,8.86
asia,4077.92,3767954.18,steam injection,46.73,2.96,3.6,4.72
north america,1648.96,3474722.68,fracking,92.61,3.32,3.32,7.4
south america,4160.2,1082180.85,steam injection,31.47,9.45,4.68,4.01
asia,1118.63,4598276.17,natural lift,99.24,4.29,1.77,1.49
europe,4401.34,584206.99,natural lift,31.06,6.53,4.13,5.35
asia,2431.14,4381.13,natural lift,58.49,7.61,1.25,4.07
middle east,933.93,1531831.25,steam injection,75.69,2.31,2.28,3.33
europe,3609.06,2849092.98,steam injection,13.72,0.88,0.63,9.79
south america,2492.47,583242.17,fracking,74.15,0.08,0.86,8.13
europe,1589.0,2468.76,fracking,7.98,2.41,4.77,5.07
europe,2405.29,1785.75,fracking,27.25,3.37,0.35,6.89
asia,2275.93,4988371.08,water flooding,45.52,8.3,3.48,5.76
asia,553.24,4452.65,natural lift,98.21,6.87,4.87,1.22
europe,3845.37,4076.38,steam injection,79.45,0.98,0.64,6.77
south america,4022.87,4870.74,water flooding,22.14,1.55,0.45,6.47
north america,1857.77,1132.7,water flooding,66.04,8.33,3.83,5.79
europe,735.17,3882.29,water flooding,22.57,4.72,2.44,5.35
north america,4859.78,883042.42,natural lift,63.16,3.69,1.31,0.3
north america,889.59,4618046.51,water flooding,80.55,3.8,1.63,1.49
middle east,3610.91,2374.72,natural lift,3.84,2.92,3.81,0.18
middle east,876.37,4420062.6,steam injection,31.09,0.23,4.13,3.68
europe,1983.74,288.91,natural lift,59.45,2.94,2.58,1.92
north america,4468.98,3122.36,natural lift,82.93,9.27,1.63,3.52
south america,1413.45,3340.04,water flooding,14.72,8.11,0.53,6.13
asia,3969.77,4913.16,fracking,63.4,2.02,1.37,3.82
south america,3040.74,4212104.67,steam injection,48.73,7.05,1.47,3.6
europe,4836.83,668850.82,natural lift,44.01,3.35,1.31,3.99
europe,2800.59,2192892.8,water flooding,17.28,7.56,2.37,6.68
asia,1263.37,513.52,fracking,58.94,8.21,4.81,5.46
south america,1863.85,3736953.11,fracking,76.33,1.87,3.29,9.48
middle east,4413.88,4395.15,natural lift,3.64,8.23,3.54,8.81
africa,1512.2,4014419.35,fracking,57.98,5.5,2.22,9.98
south america,4421.02,1120954.94,water flooding,75.67,5.69,3.07,4.77
africa,786.88,118.34,water flooding,8.61,7.39,3.7,7.95
south america,4571.04,3217.25,water flooding,77.15,5.88,0.26,2.28
north america,2857.47,4746.88,water flooding,56.71,9.33,2.46,8.51
asia,3070.35,2367.83,water flooding,9.04,6.63,2.94,0.76
middle east,1403.63,1275.76,natural lift,65.86,1.52,2.63,3.39
africa,2168.42,2366.12,water flooding,1.69,3.7,0.18,9.19
africa,2059.54,4617.87,natural lift,9.79,0.84,0.5,9.61
north america,2649.87,948568.95,steam injection,22.25,3.37,0.65,9.72
middle east,3791.99,2076072.85,natural lift,86.95,9.7,4.51,6.59
africa,1877.07,760776.52,water flooding,72.87,3.39,1.75,5.74
middle east,2430.89,4579492.08,water flooding,48.58,0.36,0.54,4.91
north america,2860.51,4001.92,fracking,18.36,5.09,1.67,4.8
north america,3552.85,3153514.12,steam injection,88.05,0.66,4.7,9.61
north america,3265.76,1386178.38,steam injection,65.61,2.76,3.18,8.3
asia,3409.84,4136689.23,natural lift,29.46,8.75,2.48,9.95
europe,3248.13,615516.81,steam injection,64.78,8.56,3.73,3.8
europe,3363.92,4131526.99,natural lift,53.11,6.94,3.07,2.22
europe,889.77,3267116.56,natural lift,91.66,9.68,2.5,6.15
south america,2429.47,3824772.87,natural lift,37.09,1.02,2.57,3.76
south america,1329.61,2765902.98,fracking,14.2,5.7,0.84,6.71
europe,4795.04,2928.79,fracking,23.46,0.95,1.06,8.71
europe,1234.13,955631.89,water flooding,27.38,7.31,3.18,6.04
asia,3177.34,3590.49,fracking,66.96,3.59,1.26,0.22
middle east,3126.83,3221291.83,water flooding,26.84,6.83,0.62,2.2
asia,4650.19,583427.07,water flooding,55.88,5.68,2.96,8.4
europe,4125.65,1078731.61,natural lift,87.76,2.47,0.49,0.48
asia,2724.07,2670.96,natural lift,23.59,7.56,4.64,9.03
africa,1602.65,1199363.79,fracking,23.12,6.6,4.2,3.76
africa,4458.56,1871.24,fracking,93.28,7.15,3.78,6.1
europe,3826.18,3938.23,fracking,53.45,7.79,0.8,8.1
asia,1086.93,1546463.76,fracking,39.46,6.01,4.22,2.27
asia,1952.56,808.13,water flooding,99.04,3.48,2.64,3.83
europe,3554.32,2339.39,fracking,38.21,7.33,5.0,7.71
south america,1693.21,3526.74,steam injection,30.87,4.1,1.47,6.88
north america,3678.69,1955.25,fracking,79.81,0.24,0.53,0.27
south america,675.65,2620044.48,steam injection,40.09,3.93,1.35,3.19
north america,2555.99,524191.76,natural lift,12.57,6.52,4.15,9.96
asia,1235.73,1487.14,natural lift,57.96,9.04,4.82,3.92
